timestamp,epochs,samples,total,reconstruction_loss,label
E00-B025,0.16666666666666666,100,10.529191255569458,21.058382511138916,training
E00-B050,0.3333333333333333,200,2.586270227432251,5.172540454864502,training
E00-B075,0.5,300,1.2655945611000061,2.5311891222000122,training
E00-B100,0.6666666666666666,400,0.7487782752513885,1.497556550502777,training
E00-B125,0.8333333333333334,500,0.5170978820323944,1.0341957640647887,training
E00-B150,1.0,600,0.3384859001636505,0.676971800327301,training
E01-B025,1.1666666666666667,700,0.32461889266967775,0.6492377853393555,training
E01-B050,1.3333333333333333,800,0.41336840748786924,0.8267368149757385,training
E01-B075,1.5,900,0.22277891755104065,0.4455578351020813,training
E01-B100,1.6666666666666665,1000,0.1789581561088562,0.3579163122177124,training
E01-B125,1.8333333333333335,1100,0.16810842752456664,0.3362168550491333,training
E01-B150,2.0,1200,0.15993645846843718,0.31987291693687436,training
E02-B025,2.1666666666666665,1300,0.15104062378406524,0.3020812475681305,training
E02-B050,2.3333333333333335,1400,0.1325440463423729,0.2650880926847458,training
E02-B075,2.5,1500,0.1281181851029396,0.2562363702058792,training
E02-B100,2.6666666666666665,1600,0.11172117829322815,0.2234423565864563,training
E02-B125,2.8333333333333335,1700,0.1063011234998703,0.2126022469997406,training
E02-B150,3.0,1800,0.09799615293741226,0.19599230587482452,training
E03-B025,3.1666666666666665,1900,0.0901314377784729,0.1802628755569458,training
E03-B050,3.3333333333333335,2000,0.08748269051313401,0.17496538102626802,training
E03-B075,3.5,2100,0.07836304754018783,0.15672609508037566,training
E03-B100,3.6666666666666665,2200,0.08620979547500611,0.17241959095001222,training
E03-B125,3.8333333333333335,2300,0.07495401889085769,0.14990803778171538,training
E03-B150,4.0,2400,0.07809309452772141,0.15618618905544282,training
E04-B025,4.166666666666667,2500,0.07679579883813858,0.15359159767627717,training
E04-B050,4.333333333333333,2600,0.07317880719900131,0.14635761439800263,training
E04-B075,4.5,2700,0.07014866203069686,0.14029732406139372,training
E04-B100,4.666666666666667,2800,0.06335993021726609,0.12671986043453218,training
E04-B125,4.833333333333333,2900,0.06428413957357407,0.12856827914714813,training
E04-B150,5.0,3000,0.06504855945706367,0.13009711891412734,training
E05-B025,5.166666666666667,3100,0.06007390528917313,0.12014781057834625,training
E05-B050,5.333333333333333,3200,0.058232429176568984,0.11646485835313797,training
E05-B075,5.5,3300,0.05575621262192726,0.11151242524385452,training
E05-B100,5.666666666666667,3400,0.056868352144956585,0.11373670428991317,training
E05-B125,5.833333333333333,3500,0.05795071095228195,0.1159014219045639,training
E05-B150,6.0,3600,0.05390652731060982,0.10781305462121964,training
E06-B025,6.166666666666667,3700,0.054652168452739715,0.10930433690547943,training
E06-B050,6.333333333333333,3800,0.05322244539856911,0.10644489079713822,training
E06-B075,6.5,3900,0.05603387162089348,0.11206774324178696,training
E06-B100,6.666666666666667,4000,0.055281940400600436,0.11056388080120087,training
E06-B125,6.833333333333333,4100,0.05534459188580513,0.11068918377161026,training
E06-B150,7.0,4200,0.05708605483174324,0.11417210966348648,training
E07-B025,7.166666666666667,4300,0.056292536556720736,0.11258507311344147,training
E07-B050,7.333333333333333,4400,0.055936393290758134,0.11187278658151627,training
E07-B075,7.5,4500,0.0584710282087326,0.1169420564174652,training
E07-B100,7.666666666666667,4600,0.05650767743587494,0.11301535487174988,training
E07-B125,7.833333333333333,4700,0.05739011287689209,0.11478022575378417,training
E07-B150,8.0,4800,0.059719089269638065,0.11943817853927613,training
E08-B025,8.166666666666666,4900,0.06761314004659652,0.13522628009319304,training
E08-B050,8.333333333333334,5000,0.09301542371511459,0.18603084743022918,training
E08-B075,8.5,5100,0.06770718023180962,0.13541436046361924,training
E08-B100,8.666666666666666,5200,0.06779993206262588,0.13559986412525177,training
E08-B125,8.833333333333334,5300,0.06059778228402138,0.12119556456804276,training
E08-B150,9.0,5400,0.057578792423009874,0.11515758484601975,training
E09-B025,9.166666666666666,5500,0.056636323928833006,0.11327264785766601,training
E09-B050,9.333333333333334,5600,0.05635777920484543,0.11271555840969086,training
E09-B075,9.5,5700,0.0550998118519783,0.1101996237039566,training
E09-B100,9.666666666666666,5800,0.05774323254823685,0.1154864650964737,training
E09-B125,9.833333333333334,5900,0.05890481248497963,0.11780962496995925,training
E09-B150,10.0,6000,0.0688705912232399,0.1377411824464798,training
E10-B025,10.166666666666666,6100,0.061425740867853164,0.12285148173570633,training
E10-B050,10.333333333333334,6200,0.056463954597711564,0.11292790919542313,training
E10-B075,10.5,6300,0.0554352530837059,0.1108705061674118,training
E10-B100,10.666666666666666,6400,0.05474136397242546,0.10948272794485092,training
E10-B125,10.833333333333334,6500,0.05364431008696556,0.10728862017393112,training
E10-B150,11.0,6600,0.055201189666986464,0.11040237933397293,training
